Extraterrestrial Solar Irradiance [mW m^(-2) nm^(-1)],,,
lambda (nm),"E_S,5800K",lambda (nm),"E_S,Wehrli85"
749.83,1314.1,1177.5,525
750.64,1311.9,1182.5,514
751.45,1309.7,1187.5,512
752.26,1307.4,1192.5,511
753.07,1305.2,1197.5,502
753.89,1303.0,1202.5,496
754.70,1300.8,1207.5,494
755.51,1298.6,1212.5,489
756.32,1296.4,1217.5,500
757.13,1294.2,1222.5,481
757.94,1292.0,1227.5,481
758.75,1289.8,1232.5,484
759.57,1287.5,1237.5,477
760.38,1285.3,1242.5,477
761.19,1283.1,1247.5,466
762.00,1280.9,1252.5,474
762.81,1278.7,1257.5,463
763.62,1276.5,1262.5,444
764.43,1274.4,1267.5,438
765.24,1272.2,1272.5,439
766.06,1270.0,1277.5,453
766.87,1267.8,1282.5,435
767.68,1265.6,1287.5,437
768.49,1263.4,1292.5,442
769.30,1261.2,1297.5,438
770.11,1259.1,1302.5,438
770.92,1256.9,1307.5,429
771.73,1254.7,1312.5,419
772.54,1252.5,1317.5,416
773.35,1250.4,1322.5,416
774.16,1248.2,1327.5,411
774.98,1246.0,1332.5,405
775.79,1243.9,1337.5,400
776.60,1241.7,1342.5,398
777.41,1239.5,1347.5,394
778.22,1237.4,1352.5,387
779.03,1235.2,1357.5,382
779.84,1233.1,1362.5,378
780.65,1230.9,1367.5,370
781.46,1228.8,1372.5,369
782.27,1226.6,1377.5,368
783.08,1224.5,1382.5,364
783.89,1222.4,1387.5,364
784.70,1220.2,1392.5,358
785.51,1218.1,1397.5,357
786.32,1215.9,1402.5,353
787.13,1213.8,1407.5,350
787.94,1211.7,1412.5,346
788.75,1209.6,1417.5,344
789.56,1207.4,1422.5,343
790.37,1205.3,1427.5,348
791.18,1203.2,1432.5,337
791.99,1201.1,1437.5,331
792.80,1199.0,1442.5,327
793.61,1196.9,1447.5,318
794.42,1194.7,1452.5,323
795.23,1192.6,1457.5,307
796.04,1190.5,1462.5,317
796.85,1188.4,1467.5,311
797.66,1186.3,1472.5,311
798.47,1184.2,1477.5,307
799.28,1182.1,1482.5,303
800.09,1180.0,1487.5,298
800.90,1177.9,1492.5,303
801.71,1175.9,1497.5,300
802.52,1173.8,1502.5,296
803.33,1171.7,1507.5,295
804.14,1169.6,1512.5,290
804.95,1167.5,1517.5,290
805.76,1165.5,1522.5,286
806.57,1163.4,1527.5,290
807.38,1161.3,1532.5,282
808.19,1159.2,1537.5,274
