"","no","peakTime","peak","baseline1","baseline2","baseline","amplitude","relAmp","percDiff","duration","irradGain","relIrrad","irradTot","baselineTime1","baselineTime2","symmetry","z","timeInterval"
"1831",1831,89755,87.42,529.85,143.17,529.85,442.43,442.43,0.835,51,-8837.81669716981,-8837.81669716981,8660.89094433962,89726,89777,"asymmetric","897551",60
"2447",2447,119462,7.88,49.9,34.2,42.05,34.17,34.17,0.8126,51,-997.168984132075,-997.168984132075,1189.31809737736,119431,119482,"symmetric","1194621",62
"2491",2491,121182,10.18,39.47,22.75,31.11,20.93,20.93,0.6728,51,-489.780689603773,-489.780689603773,1128.06202058491,121147,121198,"symmetric","1211821",153
"3020",3020,142760,11.89,70.45,18.08,70.45,58.56,58.56,0.8312,51,-579.036834679245,-579.036834679245,1722.74659437736,142716,142767,"asymmetric","1427601",523
"1323",1323,66588,9.06,16.73,35.74,26.235,17.17,17.175,0.6545,49,-432.775269169812,-432.775269169812,879.086211962264,66567,66616,"symmetric","665881",109
"15",15,731,99.37,689.59,611.57,650.58,551.21,551.21,0.8473,47,-19016.1754471698,-19016.1754471698,12211.5371264151,707,754,"symmetric","7311",26
"607",607,26302,238.37,619.27,944.36,781.815,543.44,543.445,0.6951,47,-14931.8657150943,-14931.8657150943,22595.1355528302,26283,26330,"symmetric","263021",64
"619",619,26938,13.58,22.74,57.04,39.89,26.31,26.31,0.6596,47,-696.768873962264,-696.768873962264,1218.05930716981,26919,26966,"symmetric","269381",57
"1438",1438,73455,57.7,109.86,113.8,111.83,54.13,54.13,0.484,47,-1246.26393169811,-1246.26393169811,4121.71007433962,73437,73484,"symmetric","734551",36
"1979",1979,95872,181.77,432.95,667.48,550.215,368.45,368.445,0.6696,47,-11413.009154717,-11413.009154717,14997.3858339623,95860,95907,"symmetric","958721",39
"568",568,24672,134.37,292.17,278.33,285.25,150.88,150.88,0.5289,46,-4504.05513679245,-4504.05513679245,8902.70200188679,24649,24695,"symmetric","246721",35
