"","w.length","type","s.q.irrad"
"477",498.09,"clear.sky",1.09762917938668
"478",498.56,"clear.sky",1.08652379914656
"479",499.02,"clear.sky",1.09934801125317
"480",499.48,"clear.sky",1.10301893611891
"481",499.94,"clear.sky",1.09046552670584
"482",500.4,"clear.sky",1.07260811829421
"483",500.87,"clear.sky",1.05441899917829
"484",501.33,"clear.sky",1.05247130919384
"485",501.79,"clear.sky",1.05108861862889
"486",502.25,"clear.sky",1.06733198861547
"487",502.71,"clear.sky",1.08600584508156
"488",503.17,"clear.sky",1.08901677973131
"489",503.64,"clear.sky",1.08050369306855
"490",504.1,"clear.sky",1.07577269639019
"491",504.56,"clear.sky",1.07399772002736
"492",505.02,"clear.sky",1.10502691339363
"493",505.48,"clear.sky",1.11712699439711
"494",505.94,"clear.sky",1.12018440498608
"495",506.4,"clear.sky",1.12534159327788
"496",506.87,"clear.sky",1.1068503633961
"497",507.33,"clear.sky",1.08901535904107
"498",507.79,"clear.sky",1.08377743834834
"499",508.25,"clear.sky",1.08725875587761
"500",508.71,"clear.sky",1.10328602146089
"501",509.17,"clear.sky",1.10810740932099
"502",509.63,"clear.sky",1.11011899544558
"503",510.1,"clear.sky",1.10532176267226
"504",510.56,"clear.sky",1.1000163606922
"505",511.02,"clear.sky",1.11352180245463
"506",511.48,"clear.sky",1.10746075898978
"507",511.94,"clear.sky",1.10972950805464
"508",512.4,"clear.sky",1.09863991159806
"509",512.86,"clear.sky",1.07477167031287
"510",513.32,"clear.sky",1.07259903281573
"511",513.78,"clear.sky",1.06424763207362
"512",514.25,"clear.sky",1.06524010690968
"513",514.71,"clear.sky",1.0655194831244
"514",515.17,"clear.sky",1.07508483559647
"515",515.63,"clear.sky",1.06414556054047
"516",516.09,"clear.sky",1.02741003882998
"517",516.55,"clear.sky",0.972996028470309
"518",517.01,"clear.sky",0.953652798799186
"519",517.47,"clear.sky",0.95910867036342
"520",517.93,"clear.sky",0.973195686269759
"521",518.39,"clear.sky",0.996633357617652
"522",518.85,"clear.sky",0.994312777404373
"523",519.32,"clear.sky",1.03985023320397
"524",519.78,"clear.sky",1.05059390897246
"525",520.24,"clear.sky",1.06428901290331
"526",520.7,"clear.sky",1.06506300083902
"527",521.16,"clear.sky",1.06698615625663
"528",521.62,"clear.sky",1.08516086330579
"529",522.08,"clear.sky",1.07618392931037
"530",522.54,"clear.sky",1.0676722387061
"531",523,"clear.sky",1.05223933087216
"532",523.46,"clear.sky",1.08076137429204
"533",523.92,"clear.sky",1.10207406656482
"534",524.38,"clear.sky",1.11153952785392
"535",524.84,"clear.sky",1.10630162703316
"536",525.3,"clear.sky",1.10121004028514
"537",525.76,"clear.sky",1.0723097268266
"538",526.22,"clear.sky",1.03903354041835
"539",526.68,"clear.sky",1.01057522841348
"540",527.14,"clear.sky",1.01005754382447
"541",527.6,"clear.sky",1.04204515398671
"542",528.06,"clear.sky",1.07325288410802
"543",528.52,"clear.sky",1.0987244164375
"544",528.98,"clear.sky",1.10845872295789
"545",529.44,"clear.sky",1.11138368733425
"546",529.9,"clear.sky",1.10599857365401
"547",530.36,"clear.sky",1.11488880837754
"548",530.82,"clear.sky",1.12487489665579
"549",531.28,"clear.sky",1.12704045850049
"550",531.74,"clear.sky",1.10849541181276
"551",532.2,"clear.sky",1.07345523715386
"552",532.66,"clear.sky",1.0639043283367
"553",533.12,"clear.sky",1.06670249670493
"554",533.58,"clear.sky",1.07762867631047
"555",534.04,"clear.sky",1.09454698165933
"556",534.5,"clear.sky",1.09413921957395
"557",534.96,"clear.sky",1.10842783177555
"558",535.42,"clear.sky",1.1174001545917
"559",535.88,"clear.sky",1.12662437344724
"560",536.34,"clear.sky",1.10443489689093
"561",536.8,"clear.sky",1.07894583434611
"562",537.26,"clear.sky",1.09216003386916
"563",537.72,"clear.sky",1.09405294664846
"564",538.18,"clear.sky",1.10232938945995
"565",538.64,"clear.sky",1.09868584002208
"566",539.1,"clear.sky",1.08284397873049
"567",539.56,"clear.sky",1.06678819641784
"568",540.02,"clear.sky",1.05190291171962
"569",540.48,"clear.sky",1.05328480171071
"570",540.94,"clear.sky",1.04816377780242
"571",541.4,"clear.sky",1.06717936364018
"572",541.86,"clear.sky",1.07708693399734
"573",542.32,"clear.sky",1.08210641374515
"574",542.78,"clear.sky",1.06943881859435
"575",543.24,"clear.sky",1.07525968524815
"576",543.69,"clear.sky",1.08729892721031
"577",544.15,"clear.sky",1.09088621952676
"578",544.61,"clear.sky",1.09353533080039
"579",545.07,"clear.sky",1.09442114906835
"580",545.53,"clear.sky",1.09155504370242
"581",545.99,"clear.sky",1.08975399914777
"582",546.45,"clear.sky",1.09127003354322
"583",546.91,"clear.sky",1.09201975830656
"584",547.37,"clear.sky",1.07985242770755
"585",547.83,"clear.sky",1.07440141128161
"586",548.29,"clear.sky",1.07700207685445
"587",548.74,"clear.sky",1.08741225569827
